// new treasuretable "TUT_Chest_Potions"
new treasuretable "DIQ_OBJ_Clothing_Container_TT"
CanMerge 1
new subtable "1,1"
object category "I_CONT_AgileArmor",1,0,0,0,0,0,0,0

new treasuretable "CONT_AgileArmor_TT"
CanMerge 1
new subtable "1,1"
object category "I_HUM_M_CLT_Body_A",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_CLT_Doublet",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_CLT_Camp_Minsc_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Camp_Rich_G_Bright",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_Robe_B_Wizard",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_Splint_A_1",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_CLT_Jacket_C",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_ARM_Camp_Aristocrat_Brown",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_Monk",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_BreastPlate_A_1_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_Watch_Leather",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_CampMonk_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
object category "I_HUM_M_ARM_Blouse_Leather",1,0,0,0,0,0,0,0
